DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,Ldr Pos,Score,Top 20,Top 10,Top 5,Win%,Make Cut %,Tee Time,Eagles,Birdies,Bogeys,Pars,Dbl Bogeys,Birdie Streaks,Bogey Free Rounds
43697441,Nick Taylor,G,Golf,GOLF,,7200,0,63.28,,63.28,8.78888888888889,5.36,5.507427558685171,0,100,,,63.2795,33,70,87,95,111,133.5,66.5838,33.2,70.9,94.1,104,122.2,145.2,58.8266,29.3,63,83.4,92.5,108.5,129.7,,,,,,,,30.61,34.77,31.25,,,,0.1843,0.0911,0.0448,0.9%,0.5683,2026-07-30T08:06:00,0.4589,14.0393,6.9516,34.0698,0.8035,0.4852,0.2015
43697437,Christiaan Bezuidenhout,G,Golf,GOLF,,7300,0,63.18,,63.18,8.654794520547945,3.98,3.9395668403481725,0,100,,,63.1782,33,69.5,86.5,94.5,112,131.01,66.3584,33.48,70.4,93.4,103.32,122.2,143.6,58.7172,29.3,62.9,83.3,92,108.5,127.9,,,,,,,,30.44,34.59,31.15,,,,0.1849,0.0879,0.046,0.7%,0.5724,2026-07-30T07:11:00,0.4757,13.9676,7.0471,34.1914,0.7959,0.4771,0.2034
43697418,Marco Penge,G,Golf,GOLF,,7800,0,63.13,,63.13,8.093589743589744,3.29,3.171847654641824,0,100,,,63.134,32.5,69,87,96,112.5,134.01,66.2491,32.7,69.7,94,104.5,122.9,145.9,58.6346,28.8,62.3,83.6,93.1,109.6,128.8,,,,,,,,30.96,35.13,31.67,,,,0.1995,0.0997,0.0507,0.8%,0.5679,2026-07-30T13:49:00,0.4683,13.9312,6.9908,34.1232,0.8033,0.4827,0.2006
43697427,Pierceson Coody,G,Golf,GOLF,,7400,0,62.84,,62.84,8.49189189189189,3.28,3.169531186438242,0,100,,,62.8386,32.5,68.5,86.5,94.5,111.5,134,65.8991,33,69.7,93.1,103.1,122.1,146,58.321,28.8,62.3,82.8,91.82,108.6,129.2,,,,,,,,30.56,34.6,31.16,,,,0.1796,0.0871,0.0442,0.7%,0.5671,2026-07-30T08:28:00,0.4715,13.8797,7.0084,34.1249,0.7947,0.4849,0.201
43697447,Andrew Novak,G,Golf,GOLF,,7100,0,62.81,,62.81,8.846478873239437,3.96,3.92162067534476,0,100,,,62.807,32.5,69,86.5,94.5,110.5,132.5,65.8694,32.7,69.9,93.02,103.2,120.91,144.4,58.3811,28.8,62.2,82.9,92.1,107.8,128,,,,,,,,30.39,34.49,31.1,,,,0.1897,0.0918,0.0457,0.7%,0.5713,2026-07-30T07:44:00,0.4633,13.8642,7.0323,34.2886,0.7922,0.4706,0.208
43697432,Ben Kohles,G,Golf,GOLF,,7300,0,62.72,,62.72,8.591780821917808,3.48,3.3759850394674746,0,100,,,62.7197,32.5,68,87,95.5,112,133.51,65.8318,32.8,68.3,93.62,104.3,123.31,146.3,58.3093,28.7,61.6,83.4,93,109.7,129.1,,,,,,,,30.91,35.05,31.59,,,,0.1931,0.0965,0.0484,0.8%,0.5598,2026-07-30T13:38:00,0.4679,13.8402,6.9992,33.9419,0.7732,0.4752,0.2044
43697428,Johnny Keefer,G,Golf,GOLF,,7400,0,62.33,,62.33,8.422972972972971,2.89,2.7364833558158814,0,100,,,62.3349,32,67.5,86.5,95,112,134,65.3345,32.4,67.8,93.2,103.9,122.6,145.8,57.9224,28.7,60.5,82.9,93,109.4,127.9,,,,,,,,30.89,35.04,31.61,,,,0.1966,0.0973,0.0477,0.7%,0.5551,2026-07-30T09:01:00,0.466,13.7418,6.9524,33.9035,0.7931,0.4683,0.2019
43697423,Jackson Suber,G,Golf,GOLF,,7500,0,62.09,,62.09,8.278666666666666,4.39,4.401544191767641,0,100,,,62.0901,31.5,67,87,96.5,113,132,65.0397,31.7,66.8,93.62,104.92,123.6,144.8,57.627,27.7,59.8,83.4,94.3,109.8,128.5,,,,,,,,31.4,35.66,32.14,,,,0.2091,0.1104,0.0567,0.7%,0.5479,2026-07-30T14:00:00,0.4542,13.6594,6.9621,33.7493,0.7804,0.4793,0.2013
43697444,Sam Stevens,G,Golf,GOLF,,7200,0,61.98,,61.98,8.608333333333333,2.68,2.5130713993655287,0,100,,,61.9756,32,67.5,86,94.5,111,132,64.97,32.5,67.45,92.6,102.9,120.8,143.6,57.5613,28.6,60.5,82.33,91.4,107.9,127.9,,,,,,,,30.51,34.61,31.18,,,,0.1852,0.0937,0.0446,0.7%,0.5557,2026-07-30T08:28:00,0.4465,13.7109,6.9873,33.9475,0.7895,0.4647,0.2006
43697440,Kevin Yu,G,Golf,GOLF,,7200,0,61.42,,61.42,8.530555555555555,3.13,2.997347833148941,0,100,,,61.4173,32,66,85.5,94.5,112,134.5,64.2695,31.9,65.5,92.1,103.4,122.3,145.4,56.8953,28.1,58.2,82.3,92.2,109,128.3,,,,,,,,30.93,35.08,31.72,,,,0.188,0.0981,0.0473,0.7%,0.5437,2026-07-30T07:55:00,0.4507,13.5567,7.0184,33.631,0.7846,0.4707,0.2008
43697431,Max Greyserman,G,Golf,GOLF,,7300,0,61.38,,61.38,8.408219178082193,3.38,3.264142985450471,0,100,,,61.3787,31.5,64.5,86.5,96.5,113.5,133,64.2488,31.3,63.75,93.7,104.9,124.6,145.2,56.8416,27.5,56.8,83.4,93.51,110.3,129.3,,,,,,,,31.67,35.92,32.41,,,,0.2069,0.1079,0.0569,0.8%,0.5308,2026-07-30T13:27:00,0.4591,13.512,6.9383,33.2836,0.7874,0.4691,0.1928
43697466,Chris Kirk,G,Golf,GOLF,,6900,0,61.12,,61.12,8.857971014492753,3.54,3.4512068091205883,0,100,,,61.1241,32,67.5,84,92,107,128,63.8553,32.5,67.3,89.9,100,117,139.9,56.7233,28.7,60.5,80,89.3,104.7,122,,,,,,,,29.3,33.17,29.97,,,,0.1526,0.0705,0.0324,0.5%,0.5606,2026-07-30T07:33:00,0.4548,13.5244,7.1096,34.1906,0.7822,0.4422,0.1954
43697472,William Mouw,G,Golf,GOLF,,6800,0,61.01,,61.01,8.97205882352941,5.01,5.1159339690827075,0,100,,,61.0079,32,66,85,93,109,129.5,63.7693,32.1,65.4,91.2,101.42,119.7,142.6,56.5473,28.1,58.7,81.12,90.5,107,125.9,,,,,,,,30.1,34.18,30.85,,,,0.1731,0.0825,0.0398,0.6%,0.5471,2026-07-30T07:55:00,0.4583,13.492,7.0706,33.7631,0.7899,0.4478,0.189
43697468,Zecheng Dou,G,Golf,GOLF,,6900,0,60.9,,60.9,8.826086956521738,3.1,2.967873921291897,0,100,,,60.9035,31.5,65,85.5,94,109.5,130.5,63.6858,31.6,63.95,91.83,102.8,120.5,142.8,56.4304,27.6,57.5,82.1,91.61,107.1,125.5,,,,,,,,30.55,34.66,31.35,,,,0.1785,0.0872,0.041,0.5%,0.5378,2026-07-30T13:49:00,0.454,13.4561,7.0086,33.5333,0.7828,0.4545,0.1953
43697442,Emiliano Grillo,G,Golf,GOLF,,7200,0,60.71,,60.71,8.431944444444445,2.54,2.363102423993144,0,100,,,60.7063,31.5,64.5,85,93.5,110,129.5,63.4662,31.5,63.7,91.43,102.1,120.81,141.9,56.2592,27.6,56.8,81.6,91.9,107.8,125.5,,,,,,,,30.51,34.65,31.38,,,,0.1821,0.0882,0.0423,0.7%,0.5367,2026-07-30T07:11:00,0.4514,13.3919,6.9943,33.5734,0.7841,0.4423,0.1982
43697449,Ricky Castillo,G,Golf,GOLF,,7100,0,60.69,,60.69,8.547887323943662,2.6,2.427363406745465,0,100,,,60.6945,32,65.5,84.5,93,108.5,128.51,63.4369,32.2,64.4,90.9,101.2,118.5,140,56.2214,28.2,57.5,80.9,90.2,106.31,123.6,,,,,,,,29.95,33.88,30.61,,,,0.1652,0.0804,0.0364,0.6%,0.5394,2026-07-30T07:33:00,0.4498,13.4394,7.0375,33.5862,0.7724,0.4638,0.1882
