Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
G,Jeffrey Kang (43746612),Jeffrey Kang,43746612,G,6200,Wyndham Championship,Golf,41,
G,Luke List (43755540),Luke List,43755540,G,6200,Wyndham Championship,Golf,52.7,
G,Hayden Springer (43755544),Hayden Springer,43755544,G,6200,Wyndham Championship,Golf,59.6,
G,Brice Garnett (43746613),Brice Garnett,43746613,G,6100,Wyndham Championship,Golf,42.9,
G,Stefano Mazzoli (43746614),Stefano Mazzoli,43746614,G,6100,Wyndham Championship,Golf,49.2,
G,Peter Malnati (43746615),Peter Malnati,43746615,G,6100,Wyndham Championship,Golf,50.6,
G,Kensei Hirata (43746616),Kensei Hirata,43746616,G,6100,Wyndham Championship,Golf,42.4,
G,Adam Schenk (43746617),Adam Schenk,43746617,G,6100,Wyndham Championship,Golf,40.8,
G,Cameron Davis (43746618),Cameron Davis,43746618,G,6100,Wyndham Championship,Golf,40.3,
G,Danny Walker (43746619),Danny Walker,43746619,G,6100,Wyndham Championship,Golf,49.2,
G,Jimmy Stanger (43755545),Jimmy Stanger,43755545,G,6100,Wyndham Championship,Golf,50.3,
G,Camilo Villegas (43755546),Camilo Villegas,43755546,G,6100,Wyndham Championship,Golf,58,
G,Alejandro Tosti (43746620),Alejandro Tosti,43746620,G,6000,Wyndham Championship,Golf,36.5,
G,Christo Lamprecht (43746621),Christo Lamprecht,43746621,G,6000,Wyndham Championship,Golf,40.6,
G,Marcelo Rozo (43746622),Marcelo Rozo,43746622,G,6000,Wyndham Championship,Golf,35.3,
G,Patton Kizzire (43746623),Patton Kizzire,43746623,G,6000,Wyndham Championship,Golf,38,
G,Rafael Campos (43746624),Rafael Campos,43746624,G,6000,Wyndham Championship,Golf,38.4,
G,Tyler Collet (43746625),Tyler Collet,43746625,G,6000,Wyndham Championship,Golf,32.4,
G,Cooper Hrabak (43746626),Cooper Hrabak,43746626,G,6000,Wyndham Championship,Golf,14.5,
G,Keenan Huskey (43755539),Keenan Huskey,43755539,G,6000,Wyndham Championship,Golf,41.5,
G,William McGirt (43755541),William McGirt,43755541,G,6000,Wyndham Championship,Golf,33.2,
G,Lorenzo Rodriguez (43755542),Lorenzo Rodriguez,43755542,G,6000,Wyndham Championship,Golf,0,
